Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-16 11:05:58,2018-01-16 11:18:55,12m - 57.181s,FAILED
,,,,,,
Test Cases/For Test Suite/SignIn,,,2018-01-16 11:05:58,2018-01-16 11:07:59,2m - 0.799s,PASSED
startApplication,,,2018-01-16 11:05:59,2018-01-16 11:07:31,1m - 32.359s,PASSED
tap,,,2018-01-16 11:07:31,2018-01-16 11:07:38,6.327s,PASSED
setText,,,2018-01-16 11:07:38,2018-01-16 11:07:46,8.390s,PASSED
setText,,,2018-01-16 11:07:46,2018-01-16 11:07:57,11.350s,PASSED
tap,,,2018-01-16 11:07:57,2018-01-16 11:07:58,0.887s,PASSED
tap,,,2018-01-16 11:07:58,2018-01-16 11:07:59,1.011s,PASSED
,,,,,,
Test Cases/For Test Suite/ProfileChange,,,2018-01-16 11:07:59,2018-01-16 11:08:28,28.426s,PASSED
delay,,,2018-01-16 11:07:59,2018-01-16 11:08:04,5.022s,PASSED
tap,,,2018-01-16 11:08:04,2018-01-16 11:08:05,0.799s,PASSED
tap,,,2018-01-16 11:08:05,2018-01-16 11:08:07,2.191s,PASSED
setText,,,2018-01-16 11:08:07,2018-01-16 11:08:19,11.211s,PASSED
checkElement,,,2018-01-16 11:08:19,2018-01-16 11:08:20,1.585s,PASSED
delay,,,2018-01-16 11:08:20,2018-01-16 11:08:27,7.002s,PASSED
tap,,,2018-01-16 11:08:27,2018-01-16 11:08:28,0.438s,PASSED
,,,,,,
Test Cases/For Test Suite/TripRequest,,,2018-01-16 11:08:28,2018-01-16 11:08:46,18.615s,PASSED
setText,,,2018-01-16 11:08:28,2018-01-16 11:08:40,12.283s,PASSED
tap,,,2018-01-16 11:08:40,2018-01-16 11:08:41,1.092s,PASSED
tap,,,2018-01-16 11:08:41,2018-01-16 11:08:43,2.076s,PASSED
tap,,,2018-01-16 11:08:43,2018-01-16 11:08:45,1.983s,PASSED
tap,,,2018-01-16 11:08:45,2018-01-16 11:08:46,1.028s,PASSED
,,,,,,
Test Cases/For Test Suite/Trip History View,,,2018-01-16 11:08:46,2018-01-16 11:09:30,43.469s,FAILED
delay,,,2018-01-16 11:08:47,2018-01-16 11:08:54,7.002s,PASSED
tap,,,2018-01-16 11:08:54,2018-01-16 11:08:54,0.643s,PASSED
delay,,,2018-01-16 11:08:54,2018-01-16 11:08:59,5.001s,PASSED
tap,,,2018-01-16 11:08:59,2018-01-16 11:09:30,30.660s,FAILED
,,,,,,
Test Cases/For Test Suite/Trip History,,,2018-01-16 11:09:30,2018-01-16 11:10:16,46.046s,FAILED
delay,,,2018-01-16 11:09:30,2018-01-16 11:09:37,7.002s,PASSED
tap,,,2018-01-16 11:09:37,2018-01-16 11:09:38,1.040s,PASSED
delay,,,2018-01-16 11:09:38,2018-01-16 11:09:43,5.001s,PASSED
tap,,,2018-01-16 11:09:43,2018-01-16 11:09:44,0.906s,PASSED
tap,,,2018-01-16 11:09:44,2018-01-16 11:09:45,1.082s,PASSED
checkElement,,,2018-01-16 11:09:45,2018-01-16 11:10:16,30.859s,FAILED
,,,,,,
Test Cases/For Test Suite/Submit Rating,,,2018-01-16 11:10:16,2018-01-16 11:11:01,44.891s,FAILED
setText,,,2018-01-16 11:10:16,2018-01-16 11:10:29,12.621s,PASSED
tap,,,2018-01-16 11:10:29,2018-01-16 11:10:30,1.318s,PASSED
tap,,,2018-01-16 11:10:30,2018-01-16 11:11:01,30.793s,FAILED
,,,,,,
Test Cases/For Test Suite/Skip Rating,,,2018-01-16 11:11:01,2018-01-16 11:11:47,46.345s,PASSED
setText,,,2018-01-16 11:11:01,2018-01-16 11:11:13,12.312s,PASSED
tap,,,2018-01-16 11:11:13,2018-01-16 11:11:14,0.910s,PASSED
tap,,,2018-01-16 11:11:14,2018-01-16 11:11:16,1.836s,PASSED
tap,,,2018-01-16 11:11:16,2018-01-16 11:11:18,1.965s,PASSED
tap,,,2018-01-16 11:11:18,2018-01-16 11:11:25,6.375s,PASSED
delay,,,2018-01-16 11:11:25,2018-01-16 11:11:40,15.000s,PASSED
tap,,,2018-01-16 11:11:40,2018-01-16 11:11:40,0.782s,PASSED
delay,,,2018-01-16 11:11:40,2018-01-16 11:11:47,7.001s,PASSED
,,,,,,
Test Cases/For Test Suite/PromotionAdd,,,2018-01-16 11:11:47,2018-01-16 11:12:24,36.617s,FAILED
tap,,,2018-01-16 11:11:47,2018-01-16 11:11:48,0.784s,PASSED
delay,,,2018-01-16 11:11:48,2018-01-16 11:11:53,5.001s,PASSED
tap,,,2018-01-16 11:11:53,2018-01-16 11:12:24,30.688s,FAILED
,,,,,,
Test Cases/For Test Suite/Profile,,,2018-01-16 11:12:24,2018-01-16 11:12:46,22.266s,PASSED
delay,,,2018-01-16 11:12:24,2018-01-16 11:12:30,6.001s,PASSED
tap,,,2018-01-16 11:12:30,2018-01-16 11:12:31,1.017s,PASSED
tap,,,2018-01-16 11:12:31,2018-01-16 11:12:33,2.155s,PASSED
tap,,,2018-01-16 11:12:33,2018-01-16 11:12:35,1.974s,PASSED
tap,,,2018-01-16 11:12:35,2018-01-16 11:12:37,2.034s,PASSED
checkElement,,,2018-01-16 11:12:37,2018-01-16 11:12:38,0.958s,PASSED
delay,,,2018-01-16 11:12:38,2018-01-16 11:12:45,7.001s,PASSED
tap,,,2018-01-16 11:12:45,2018-01-16 11:12:46,0.980s,PASSED
,,,,,,
Test Cases/For Test Suite/Terms and Conditions,,,2018-01-16 11:12:46,2018-01-16 11:13:05,18.910s,PASSED
delay,,,2018-01-16 11:12:46,2018-01-16 11:12:52,6.001s,PASSED
tap,,,2018-01-16 11:12:52,2018-01-16 11:12:53,0.693s,PASSED
tap,,,2018-01-16 11:12:53,2018-01-16 11:12:55,2.091s,PASSED
checkElement,,,2018-01-16 11:12:55,2018-01-16 11:12:57,2.011s,PASSED
delay,,,2018-01-16 11:12:57,2018-01-16 11:13:04,7.001s,PASSED
tap,,,2018-01-16 11:13:04,2018-01-16 11:13:05,0.967s,PASSED
,,,,,,
Test Cases/For Test Suite/Favourites,,,2018-01-16 11:13:05,2018-01-16 11:13:44,38.542s,FAILED
delay,,,2018-01-16 11:13:05,2018-01-16 11:13:10,5.002s,PASSED
tap,,,2018-01-16 11:13:10,2018-01-16 11:13:12,1.162s,PASSED
tap,,,2018-01-16 11:13:12,2018-01-16 11:13:13,1.662s,PASSED
checkElement,,,2018-01-16 11:13:13,2018-01-16 11:13:44,30.573s,FAILED
,,,,,,
Test Cases/For Test Suite/Cancell Trip Request,,,2018-01-16 11:13:44,2018-01-16 11:14:26,42.362s,PASSED
setText,,,2018-01-16 11:13:44,2018-01-16 11:13:57,13.216s,PASSED
tap,,,2018-01-16 11:13:57,2018-01-16 11:13:58,1.194s,PASSED
tap,,,2018-01-16 11:13:58,2018-01-16 11:14:00,1.667s,PASSED
tap,,,2018-01-16 11:14:00,2018-01-16 11:14:02,1.968s,PASSED
tap,,,2018-01-16 11:14:02,2018-01-16 11:14:10,8.229s,PASSED
delay,,,2018-01-16 11:14:10,2018-01-16 11:14:16,6.002s,PASSED
tap,,,2018-01-16 11:14:16,2018-01-16 11:14:17,0.973s,PASSED
tap,,,2018-01-16 11:14:17,2018-01-16 11:14:18,0.991s,PASSED
delay,,,2018-01-16 11:14:18,2018-01-16 11:14:24,6.001s,PASSED
tap,,,2018-01-16 11:14:24,2018-01-16 11:14:25,0.931s,PASSED
tap,,,2018-01-16 11:14:25,2018-01-16 11:14:26,1.049s,PASSED
,,,,,,
Test Cases/For Test Suite/Add Favourite Driver,,,2018-01-16 11:14:26,2018-01-16 11:15:15,48.793s,PASSED
setText,,,2018-01-16 11:14:26,2018-01-16 11:14:42,15.754s,PASSED
tap,,,2018-01-16 11:14:42,2018-01-16 11:14:43,0.951s,PASSED
tap,,,2018-01-16 11:14:43,2018-01-16 11:14:45,2.008s,PASSED
tap,,,2018-01-16 11:14:45,2018-01-16 11:14:47,2.098s,PASSED
tap,,,2018-01-16 11:14:47,2018-01-16 11:14:55,8.021s,PASSED
delay,,,2018-01-16 11:14:55,2018-01-16 11:15:10,15.001s,PASSED
tap,,,2018-01-16 11:15:10,2018-01-16 11:15:12,1.811s,PASSED
tap,,,2018-01-16 11:15:12,2018-01-16 11:15:13,1.086s,PASSED
tap,,,2018-01-16 11:15:13,2018-01-16 11:15:15,1.923s,PASSED
,,,,,,
Test Cases/For Test Suite/ActiveTrips,,,2018-01-16 11:15:15,2018-01-16 11:15:44,29.167s,PASSED
delay,,,2018-01-16 11:15:15,2018-01-16 11:15:25,10.002s,PASSED
tap,,,2018-01-16 11:15:25,2018-01-16 11:15:26,0.954s,PASSED
delay,,,2018-01-16 11:15:26,2018-01-16 11:15:33,7.001s,PASSED
tap,,,2018-01-16 11:15:33,2018-01-16 11:15:34,1.065s,PASSED
checkElement,,,2018-01-16 11:15:34,2018-01-16 11:15:36,1.987s,PASSED
delay,,,2018-01-16 11:15:36,2018-01-16 11:15:43,7.001s,PASSED
tap,,,2018-01-16 11:15:43,2018-01-16 11:15:44,1.021s,PASSED
,,,,,,
Test Cases/For Test Suite/Accounts,,,2018-01-16 11:15:44,2018-01-16 11:16:04,19.929s,PASSED
delay,,,2018-01-16 11:15:45,2018-01-16 11:15:52,7.001s,PASSED
tap,,,2018-01-16 11:15:52,2018-01-16 11:15:52,0.769s,PASSED
tap,,,2018-01-16 11:15:52,2018-01-16 11:15:54,2.016s,PASSED
checkElement,,,2018-01-16 11:15:54,2018-01-16 11:15:56,1.987s,PASSED
delay,,,2018-01-16 11:15:56,2018-01-16 11:16:03,7.001s,PASSED
tap,,,2018-01-16 11:16:03,2018-01-16 11:16:04,1.007s,PASSED
,,,,,,
Test Cases/For Test Suite/Support,,,2018-01-16 11:16:04,2018-01-16 11:17:24,1m - 19.870s,PASSED
delay,,,2018-01-16 11:16:05,2018-01-16 11:16:11,6.002s,PASSED
tap,,,2018-01-16 11:16:11,2018-01-16 11:16:11,0.724s,PASSED
tap,,,2018-01-16 11:16:11,2018-01-16 11:16:13,2.015s,PASSED
setText,,,2018-01-16 11:16:13,2018-01-16 11:16:57,43.445s,PASSED
hideKeyboard,,,2018-01-16 11:16:57,2018-01-16 11:16:58,1.310s,PASSED
setText,,,2018-01-16 11:16:58,2018-01-16 11:17:11,13.139s,PASSED
hideKeyboard,,,2018-01-16 11:17:11,2018-01-16 11:17:12,0.851s,PASSED
tap,,,2018-01-16 11:17:12,2018-01-16 11:17:13,1.237s,PASSED
tap,,,2018-01-16 11:17:13,2018-01-16 11:17:14,1.008s,PASSED
checkElement,,,2018-01-16 11:17:14,2018-01-16 11:17:16,1.997s,PASSED
delay,,,2018-01-16 11:17:16,2018-01-16 11:17:23,7.001s,PASSED
tap,,,2018-01-16 11:17:23,2018-01-16 11:17:24,0.996s,PASSED
,,,,,,
Test Cases/For Test Suite/Accounts Edit,,,2018-01-16 11:17:24,2018-01-16 11:17:48,23.965s,PASSED
delay,,,2018-01-16 11:17:24,2018-01-16 11:17:31,7.001s,PASSED
tap,,,2018-01-16 11:17:31,2018-01-16 11:17:32,0.801s,PASSED
tap,,,2018-01-16 11:17:32,2018-01-16 11:17:34,1.996s,PASSED
tap,,,2018-01-16 11:17:34,2018-01-16 11:17:36,2.038s,PASSED
tap,,,2018-01-16 11:17:36,2018-01-16 11:17:38,1.854s,PASSED
tap,,,2018-01-16 11:17:38,2018-01-16 11:17:39,1.193s,PASSED
delay,,,2018-01-16 11:17:39,2018-01-16 11:17:46,7.002s,PASSED
checkElement,,,2018-01-16 11:17:46,2018-01-16 11:17:47,0.941s,PASSED
tap,,,2018-01-16 11:17:47,2018-01-16 11:17:48,0.994s,PASSED
,,,,,,
Test Cases/For Test Suite/Accounts Change,,,2018-01-16 11:17:48,2018-01-16 11:18:31,42.709s,FAILED
delay,,,2018-01-16 11:17:48,2018-01-16 11:17:55,7.002s,PASSED
tap,,,2018-01-16 11:17:55,2018-01-16 11:17:56,0.798s,PASSED
tap,,,2018-01-16 11:17:56,2018-01-16 11:17:58,2.016s,PASSED
checkElement,,,2018-01-16 11:17:58,2018-01-16 11:18:00,2.005s,PASSED
tap,,,2018-01-16 11:18:00,2018-01-16 11:18:31,30.754s,FAILED
,,,,,,
Test Cases/For Test Suite/Sign Out,,,2018-01-16 11:18:31,2018-01-16 11:18:44,13.196s,PASSED
delay,,,2018-01-16 11:18:31,2018-01-16 11:18:37,6.002s,PASSED
tap,,,2018-01-16 11:18:37,2018-01-16 11:18:38,1.030s,PASSED
tap,,,2018-01-16 11:18:38,2018-01-16 11:18:40,2.026s,PASSED
tap,,,2018-01-16 11:18:40,2018-01-16 11:18:42,2.005s,PASSED
checkElement,,,2018-01-16 11:18:42,2018-01-16 11:18:44,2.004s,PASSED
